id,first,last,cost,attack,defense,speed,maxtroop
0,Conrad,Franconia,0,1,2,2,1450
1,Rudolf,Rheinfelden,2,3,3,4,1100
2,Hermann,Salza,4,7,7,6,350
3,Walther,Vogelweide,1,3,4,4,1000
4,Ulrich,Liechtenstein,3,5,4,6,800
5,Godfrey,Bouillon,3,5,5,6,700
6,Leopold,Babenberg,0,2,1,2,1500
7,Heinrich,Jasomirgott,3,4,6,4,750
8,Theobald,Champagne,1,4,3,4,1000
9,Eberhard,Wurttemberg,4,5,5,6,600
10,Gebhard,Querfurt,4,7,7,5,400
11,Wiprecht,Groitzsch,1,3,3,3,1200
12,Siegfried,Ballstedt,3,5,4,4,800
13,Dietrich,Meissen,3,5,5,6,700
14,Ekkehard,Merkseburg,4,7,5,5,600
15,Bruno,Kevernburg,3,4,5,5,700
16,Arnold,Brescia,3,5,6,5,700
17,Ruprecht,Palatine,5,9,8,7,300
18,Philip,Alsace,4,6,7,6,500
19,William,Holland,2,3,4,4,950
20,Burchard,Worms,2,3,3,5,1050
21,Anselm,Havelberg,2,5,5,4,850
22,Gerhard,Julich,2,3,4,5,1000
23,Friedrich,Baden,5,9,8,7,300
24,Meinhard,Gorizia,4,5,6,6,600
25,Engelbert,Berg,3,4,4,4,950
26,Hugo,Tuebingen,4,5,6,6,500
27,Hartmann,Dillingen,2,3,3,4,1000
28,Konradin,Staufen,4,6,7,6,500
29,Manfred,Sicily,2,5,4,4,950
30,Ezzelo,Ezzonen,1,2,3,5,1100
31,Matilda,Tuscany,3,6,6,6,650
32,Boniface,Canossa,3,5,6,6,550
33,Werner,Habsburgau,3,6,4,6,700
34,Ulberto,Ravenna,4,5,7,5,500
35,Sigehard,Burghausen,3,6,5,4,750
36,Poppo,Brixen,5,9,8,8,300
37,Wolfger,Erla,3,4,5,6,700
38,Hartwig,Magdeburg,4,5,5,6,550
39,Adalbert,Bremen,1,8,7,7,500
40,Anno,Cologne,2,4,3,4,1000
41,Norbert,Xanten,2,4,3,5,850
42,Hatto,Fulda,2,3,3,5,1000
43,Heribert,Deutz,2,5,4,5,850
44,Pilgrim,Passau,1,2,3,4,1100
45,Richer,Reims,3,6,4,6,650
46,Egbert,Lotharingia,3,5,6,5,750
47,Giselbert,Brabant,3,4,5,5,850
48,Reginar,Hainaut,1,3,3,3,1150
49,Lambert,Louvain,2,5,5,5,850
50,Baldwin,Flanders,5,8,8,7,300
51,Florens,Zeeland,3,4,6,4,750
52,Dirk,Hollandia,0,1,3,2,1450
53,Gertrude,Brunswick,3,5,5,6,650
54,Sophie,Thuringia,1,2,4,3,1100
55,Judith,Guelf,2,3,3,5,950
56,Beatrix,Burgundy,3,4,4,5,900
57,Irene,Byzantium,3,6,6,4,700
58,Agnes,Poitiers,2,4,5,4,850
59,Adelaide,Italy,3,4,4,6,800
60,Cunigunde,Luxemburg,2,3,3,4,1100
61,Richenza,Northeim,0,3,2,3,1250
62,Gisela,Swabia,1,2,2,4,1200
63,Bertha,Sulzbach,3,4,4,6,750
64,Margaret,Dampierre,4,5,7,5,550
65,Elisabeth,Carinthia,1,4,2,4,1200
66,Anna,Schweidnitz,4,6,7,7,350
67,Barbara,Cilli,3,4,5,5,750
68,Eleanor,Portugal,4,6,6,5,650
69,Bianca,Montferrat,2,4,5,4,900
70,Kunigunde,Austria,0,2,3,2,1300
71,Mechthild,Ringelheim,5,6,7,7,300
72,Hedwig,Silesia,3,5,5,4,800
73,Gerberga,Gandersheim,5,8,8,6,300
74,Theophanu,Skleraina,3,6,5,5,750
75,Fastrada,Francia,4,6,5,5,700
76,Ermengarde,Tours,2,4,3,4,950
77,Hildegard,Vinzgau,3,6,4,4,800
78,Irmgard,Chiemsee,4,5,5,6,550
79,Oda,Meissenau,4,7,7,6,450
80,Reinhard,Hanau,3,5,6,5,600
81,Kaspar,Truchsess,2,4,4,4,1000
82,Georg,Frundsberg,5,9,6,7,300
83,Gotz,Berlichingen,4,5,6,6,500
84,Florian,Geyer,5,6,8,7,350
85,Sebastian,Schaertlin,0,3,3,4,1100
86,Niklas,Salm,3,6,6,5,700
87,Lazarus,Schwendi,4,5,5,6,600
88,Mercurino,Gattinara,1,4,4,5,1000
89,Georgius,Podiebrad,3,5,5,6,700
90,Jan,Zizka,4,6,5,6,550
91,Prokop,Holy,1,3,2,5,1100
92,Sigismondo,Malatesta,1,4,4,4,1100
93,Bartolomeo,Colleoni,2,4,5,5,850
94,Erasmus,Lueg,2,5,5,5,700
95,Oswald,Wolkenstein,2,3,3,4,1100
96,Eberlin,Gunzburg,5,9,6,7,300
97,Bartholomeus,Welser,0,3,1,2,1300
98,Anton,Fugger,1,2,3,5,1100
99,Hans,Sachs,4,6,5,5,650
