id,first,last,cost,attack,defense,speed,maxtroop
0,Mitsuhide,Akechi,4,8,6,5,550
1,Hideyoshi,Hashiba,1,4,4,3,1000
2,Toshiie,Maeda,2,6,3,5,850
3,Katsuie,Shibata,3,6,7,7,600
4,Nagahide,Niwa,2,6,4,6,650
5,Kazumasu,Takigawa,5,6,7,7,350
6,Nobumori,Sakuma,3,7,4,7,600
7,Nobuteru,Ikeda,1,4,2,2,1100
8,Nagachika,Hori,3,5,7,5,700
9,Ujisato,Gamo,4,7,5,6,700
10,Koroku,Hachisuka,5,8,6,7,350
11,Saizo,Kirigakure,4,5,8,6,550
12,Kazutoyo,Yamauchi,2,3,5,4,950
13,Kiyomasa,Kato,4,6,5,8,500
14,Masanori,Fukushima,3,4,6,5,800
15,Tadakatsu,Honda,5,9,9,7,300
16,Naomasa,Ii,3,7,4,5,600
17,Tadatsugu,Sakai,4,8,5,5,600
18,Mototada,Torii,3,4,6,6,650
19,Tadayo,Okubo,3,6,4,4,750
20,Kazumasa,Ishikawa,3,5,5,6,650
21,Yasumasa,Sakakibara,1,2,4,2,1200
22,Nobuharu,Baba,1,4,4,3,900
23,Masakage,Yamagata,2,6,3,4,950
24,Masatoyo,Naito,3,4,7,6,700
25,Toramasa,Obata,1,4,4,2,950
26,Nobutomo,Akiyama,2,4,3,5,1050
27,Nobushige,Oyamada,5,7,9,6,450
28,Masayuki,Kosaka,5,6,9,9,300
29,Yukitaka,Tsuchiya,1,3,2,4,1000
30,Kanetsugu,Naoe,3,5,6,5,700
31,Kagekatsu,Kakizaki,4,5,5,7,600
32,Kagetora,Amakasu,0,1,2,3,1200
33,Kagenobu,Suda,3,5,5,5,750
34,Sadamitsu,Honjo,1,3,3,3,1150
35,Shigenaga,Irobe,4,8,5,8,350
36,Yoshitsuna,Usami,3,6,4,7,750
37,Nagayoshi,Murata,2,6,3,4,1000
38,Muneshige,Tachibana,2,4,5,3,850
39,Joun,Nabeshima,1,2,2,3,1200
40,Akizane,Akizuki,2,3,3,4,1100
41,Harunobu,Arima,4,7,6,6,600
42,Tsunahisa,Shoni,4,5,7,6,550
43,Yoshihiro,Sagara,1,4,3,4,950
44,Tadatomo,Kimotsuki,4,8,8,7,350
45,Hisamitsu,Niiro,2,3,3,5,1100
46,Toshihisa,Ijuin,0,3,1,1,1400
47,Iehisa,Kamata,3,5,6,4,900
48,Tadatsune,Wakisaka,3,7,6,5,700
49,Sadakatsu,Kuki,3,7,6,4,700
50,Yoshitake,Todo,0,1,1,2,1400
51,Yasuharu,Horio,2,4,6,5,650
52,Takatora,Katagiri,2,5,4,3,850
53,Yoshitsugu,Watanabe,3,5,6,5,700
54,Katsumoto,Kyogoku,1,3,2,3,1300
55,Mitsutoshi,Kikkawa,3,6,5,5,850
56,Motoharu,Ankokuji,2,6,3,6,650
57,Takakage,Kuchiba,4,5,8,5,700
58,Ekei,Shishido,0,3,1,3,1200
59,Mototsuna,Sugi,5,9,7,9,300
60,Hiroie,Fukubara,4,8,7,8,350
61,Motoyasu,Katsura,2,5,3,6,800
62,Takamoto,Amano,4,7,7,6,500
63,Masaharu,Masuda,4,8,7,8,300
64,Narihide,Uragami,0,3,2,2,1300
65,Munekage,Akamatsu,3,5,5,4,950
66,Muneyoshi,Bessho,1,4,3,4,950
67,Murashige,Araki,1,2,3,2,1300
68,Hisahide,Matsunaga,2,4,4,5,900
69,Junkei,Tsutsui,5,9,8,9,300
70,Hideharu,Hatano,3,6,5,5,650
71,Nagayasu,Miyoshi,0,2,2,1,1450
72,Yasunaga,Sogo,4,7,8,5,550
73,Yoritsugu,Atagi,2,4,3,6,1000
74,Ujinaga,Narita,2,6,4,4,900
75,Narishige,Yura,3,6,7,4,700
76,Tamenobu,Utsunomiya,4,8,8,6,400
77,Morichika,Nasu,5,7,7,7,450
78,Harumasa,Soma,2,4,4,5,1000
79,Yoshitada,Tamura,2,6,5,6,550
80,Yoshikiyo,Rusu,2,6,4,4,750
81,Morikage,Onodera,4,8,6,5,650
82,Sadanobu,Tozawa,2,5,6,6,600
83,Akikage,Nanbu,2,5,4,3,900
84,Moriyoshi,Mogami,2,5,6,4,850
85,Tsuneoki,Akita,3,5,5,5,700
86,Terumasa,Osaki,4,5,5,5,650
87,Noriyuki,Shiba,0,1,3,2,1350
88,Shigetomo,Hatakeyama,1,2,2,4,1250
89,Mitsuyasu,Jinbo,2,3,3,6,850
90,Tomomasa,Asahina,3,4,4,6,800
91,Hidemasa,Murai,3,7,7,5,550
92,Nagamori,Endo,3,7,7,5,500
93,Yoshinari,Inaba,5,7,9,6,450
94,Nagamoto,Ando,3,4,5,5,750
95,Naotaka,Ujiie,5,6,9,6,350
96,Shigeharu,Takenaka,1,2,4,2,1100
97,Hanbei,Hineno,3,5,7,4,750
98,Masazane,Kanamori,2,5,6,6,550
99,Tadazane,Koide,0,3,2,2,1250
