id,first,last,cost,attack,defense,speed,maxtroop
0,Dun,Xiahou,5,8,7,7,300
1,Yuan,Xiahou,5,9,8,9,300
2,Ren,Cao,5,8,6,9,300
3,Hong,Cao,2,3,3,4,1100
4,Xiu,Cao,4,8,6,7,450
5,Zhen,Cao,4,7,5,7,500
6,Zhang,Cao,3,4,7,5,700
7,Rui,Cao,2,3,3,5,950
8,Liao,Zhang,5,8,8,7,300
9,Jin,Yu,4,5,6,5,700
10,Jin,Yue,4,6,6,5,550
11,Huang,Xu,5,8,6,8,350
12,He,Zhang,5,9,9,8,300
13,Wei,Dian,5,8,8,9,300
14,Chu,Xu,5,8,8,6,400
15,Dian,Li,2,6,5,5,800
16,Chong,Man,4,8,8,5,400
17,Ping,Wen,3,4,6,5,700
18,Jia,Guo,3,5,6,4,800
19,Yu,Xun,4,7,7,7,400
20,You,Xun,3,6,6,7,550
21,Xu,Jia,4,7,8,6,450
22,Yu,Cheng,2,4,3,6,950
23,Ai,Deng,4,9,5,5,500
24,Hui,Zhong,3,4,5,7,800
25,Ling,Wang,2,5,3,4,950
26,Jian,Guanqiu,3,6,5,6,750
27,Dan,Zhuge,4,5,5,7,650
28,Shuang,Wang,3,6,7,4,750
29,De,Cao,1,5,2,5,1050
30,Pi,Cao,4,6,7,6,500
31,Yu,Guan,4,9,8,7,400
32,Fei,Zhang,5,7,7,9,300
33,Yun,Zhao,5,9,8,7,300
34,Chao,Ma,5,7,7,8,350
35,Zhong,Huang,5,9,8,9,300
36,Liang,Zhuge,4,6,7,9,450
37,Tong,Pang,3,6,4,7,650
38,Zheng,Fa,3,6,6,4,700
39,Wei,Jiang,5,9,7,8,300
40,Yan,Wei,4,7,8,8,450
41,Dai,Ma,3,5,4,7,800
42,Ping,Wang,4,5,5,7,700
43,Hua,Liao,2,5,5,4,900
44,Su,Ma,2,6,4,3,950
45,Xing,Guan,2,6,4,6,850
46,Bao,Zhang,2,3,3,5,950
47,Ping,Guan,2,4,3,5,1050
48,Yong,Jian,1,4,5,3,1000
49,Zhu,Mi,1,5,3,5,1000
50,Qian,Sun,2,3,3,4,1000
51,Shan,Liu,1,4,4,2,1200
52,Dao,Chen,2,4,6,5,900
53,Quan,Huang,2,3,4,6,950
54,Yi,Qin,1,5,2,4,1050
55,Ying,Ma,2,3,3,4,1050
56,Zhi,Dong,1,4,3,4,1150
57,Zhi,Fei,1,2,5,2,1250
58,Yu,Zhou,4,7,8,8,450
59,Su,Lu,4,6,5,5,700
60,Meng,Lu,4,6,5,7,500
61,Xun,Lu,5,8,9,9,300
62,Ning,Gan,4,9,8,7,350
63,Ci,Taishi,4,7,8,7,400
64,Gai,Huang,4,6,7,7,450
65,Pu,Cheng,3,4,4,7,900
66,Dang,Han,2,3,4,3,1100
67,Ran,Zhu,4,7,5,5,750
68,Huan,Zhu,4,7,6,5,700
69,Feng,Ding,3,4,6,4,800
70,Sheng,Xu,4,8,5,7,400
71,Zhang,Pan,3,6,5,4,750
72,Tong,Ling,2,6,6,4,750
73,Kang,Lu,4,8,6,7,450
74,Tai,Zhou,4,7,7,6,550
75,Jian,Sun,4,8,8,9,350
76,Ce,Sun,5,8,8,6,450
77,Shao,Zhuge,2,6,6,6,750
78,Yi,Bu,2,6,6,4,800
79,Ji,Lu,2,5,4,5,950
80,Dai,Quan,2,3,3,6,1000
81,Gong,Chen,3,6,4,7,600
82,Shun,Gao,3,7,6,4,700
83,Xiu,Zhang,3,5,6,6,600
84,Kui,Jia,3,5,5,4,900
85,Ren,Zhang,4,5,6,5,650
86,Yan,Yan,3,4,5,6,900
87,Xiong,Hua,3,5,7,7,600
88,Jue,Li,3,5,4,5,850
89,Si,Guo,1,2,3,5,1100
90,Ru,Li,2,5,5,5,900
91,Deng,Chen,2,3,5,4,1000
92,Ba,Zang,3,5,4,6,850
93,Feng,Tian,2,4,3,6,950
94,Shou,Ju,2,5,6,5,750
95,Liang,Yan,4,7,6,8,450
96,Chou,Wen,3,6,6,4,750
97,Yan,Zhang,3,7,6,4,650
98,Xu,Gongsun,1,5,3,4,1000
99,Chao,Zhang,1,2,4,4,1150
